index,gender,occupation,educational_qualification,income,installment,arrears,deposit,shopping_frequency,average_cost,ages,number_of_browsing,number_of_raise,passive_income
98,0,1,1,28000,9,0,157632,4,58207,40,5,1,4698
99,1,1,4,45732,24,1,98691,0,9439,28,4,1,5181
100,0,1,4,78287,0,0,32818,7,40538,24,10,1,1882
101,1,1,3,83076,3,0,113222,1,50688,38,8,2,12712
102,0,0,4,31863,12,0,60122,2,20444,27,3,1,16157
103,1,1,4,28000,0,0,82075,2,3000,28,6,0,799
104,1,1,4,121637,0,0,72228,3,11247,29,8,0,372
105,0,1,5,58906,6,1,30000,3,3000,26,6,2,19605
106,0,1,4,136517,0,0,30000,5,23100,25,3,1,345
107,1,1,3,58280,0,0,30000,6,25246,42,5,1,3335
108,1,1,4,30989,3,0,46821,1,17791,32,9,1,10094
109,1,0,3,43473,36,1,148400,6,55359,35,6,0,2073
110,1,1,5,89361,18,2,190222,2,3000,28,7,0,14348
111,1,1,4,36340,12,0,104044,2,39276,28,3,0,741
112,0,1,4,38568,0,1,30000,5,3000,40,7,0,15257
113,0,1,4,46300,9,0,30000,0,30865,30,2,0,2614
114,0,1,4,126457,0,0,86889,10,81095,32,2,1,7198
115,0,1,3,42037,6,0,30000,10,3000,32,5,1,9637
116,1,0,3,56233,0,0,32924,2,82173,20,9,0,6478
117,0,1,4,28000,24,0,30000,10,44319,27,5,1,977
118,1,0,4,28000,6,0,59695,0,3000,32,1,2,1709
119,0,1,4,28000,0,1,70800,0,8010,21,8,1,4886
120,1,1,4,62878,24,0,212522,1,21412,34,2,0,13433
121,1,1,4,67891,9,0,30000,9,12094,31,3,0,23835
122,1,1,3,183090,0,0,135476,8,46980,41,3,1,2491
123,1,1,4,44109,24,0,137342,0,19264,22,7,2,4715
124,1,1,1,93854,12,0,62650,3,43373,33,10,1,8776
125,0,1,2,158922,0,1,36314,5,18375,38,6,0,12107
126,0,1,4,114412,0,0,114002,4,37942,31,9,0,3376
127,0,0,4,90989,24,0,50079,0,3000,24,7,0,27370
128,1,1,2,28000,0,0,192511,4,4412,36,4,1,26888
129,0,1,1,28000,24,0,152312,10,3000,34,10,1,261
130,1,0,4,83845,48,0,30000,6,23885,23,1,2,5199
131,1,0,4,28000,3,0,55765,7,3000,24,5,0,26732
132,0,0,3,108218,12,0,34208,0,17337,23,9,0,8169
133,1,0,5,77397,0,0,44752,7,3000,37,1,0,3355
134,1,1,4,82788,9,0,58646,6,81267,36,1,1,9663
135,1,0,1,40181,48,0,147017,0,22865,36,10,1,28
136,1,0,1,28000,3,0,158933,3,45457,28,6,3,4851
137,0,1,4,94211,3,0,146327,0,41512,24,8,1,5922
138,0,1,3,56130,9,0,76151,10,72647,38,7,1,98
139,0,1,2,52652,0,0,30000,4,72318,33,9,0,8635
140,1,1,4,28000,6,0,155405,10,19041,35,1,0,24399
141,0,1,4,51431,3,1,102179,5,36530,33,3,0,6873
142,0,1,3,99812,0,0,53108,3,3000,36,10,1,17367
143,0,1,3,42766,24,0,30000,8,46749,31,5,1,3203
144,1,1,5,93885,9,0,96115,5,24273,36,6,0,19534
145,0,1,4,28000,3,0,30000,10,18264,40,8,0,1244
146,0,0,3,28000,6,0,118370,1,21972,38,1,2,750
147,1,1,3,62758,9,0,108999,1,3000,23,2,0,4405
148,1,1,2,48844,0,0,30000,10,78509,21,5,1,5839
149,0,1,4,36667,9,0,30000,2,9545,42,6,2,4629
150,0,1,3,30498,6,0,57433,3,11578,38,10,0,917
151,0,1,3,66062,0,0,62650,2,31636,42,2,1,10938
152,1,0,4,28000,3,0,30000,7,30569,25,7,0,8481
153,0,1,4,60283,24,0,161460,4,50974,34,1,0,471
154,0,0,3,96158,24,0,30000,10,64201,32,5,1,5510
155,0,1,4,28000,6,1,77951,0,20047,28,7,0,9930
156,1,1,2,28000,12,0,46278,2,66708,21,2,1,11900
157,0,1,3,28000,0,0,75433,6,27952,39,5,1,6755
158,1,1,4,28000,0,0,94221,10,3000,20,5,1,11402
159,0,1,5,63656,3,0,136267,10,3000,27,2,0,14868
160,0,1,3,109881,0,0,30000,10,45396,34,8,0,1776
161,1,0,3,112181,0,0,107825,0,3000,26,8,0,5889
162,1,1,2,41087,0,0,49047,3,34680,20,1,0,1619
163,0,1,4,136764,24,0,151768,0,34483,31,1,1,6809
164,0,1,4,77558,0,0,30000,0,41625,34,2,0,1464
165,1,1,4,90351,0,0,30000,4,3000,37,6,0,2549
166,0,1,4,28000,24,0,48116,3,10573,27,4,1,13064
167,0,1,5,92187,0,0,30000,1,19146,21,10,0,10109
168,0,1,3,117922,9,0,206587,5,56095,38,2,1,2456
169,1,0,4,200000,9,0,30000,3,3000,28,3,0,3484
170,1,0,4,78022,3,0,130848,6,3000,36,3,0,1011
171,0,1,3,61008,0,0,60181,5,26434,38,1,1,2246
172,0,1,2,63498,48,0,30000,6,16644,26,8,0,9583
173,0,0,5,100785,18,0,66639,3,35657,34,2,0,3703
174,1,0,3,51825,0,1,30000,4,3000,37,8,1,71
175,0,0,2,28000,9,0,94950,9,44388,35,2,0,837
176,1,1,3,45680,9,0,99179,1,25411,20,8,1,6881
177,1,1,4,28000,0,0,151110,0,3000,21,6,1,272
178,0,0,4,61527,48,0,83217,0,15082,20,7,1,4647
179,0,1,4,28000,24,0,136718,0,33314,31,10,2,6361
180,0,0,5,80357,48,0,138328,0,41052,37,7,0,2299
181,0,1,4,28000,3,0,34662,7,6284,35,5,1,2288
182,1,1,3,28000,9,0,30000,9,32445,26,6,1,6829
183,1,1,4,66080,18,0,73568,0,79729,37,8,2,1546
184,1,0,2,171801,36,1,30000,7,66164,30,3,0,1264
185,1,1,4,76585,3,0,30000,0,3000,21,2,1,13793
186,1,1,5,28000,0,0,125792,3,31817,24,5,0,4345
187,0,1,4,32012,3,0,83531,10,82920,31,8,0,608
188,1,1,3,28000,36,0,32088,0,23376,29,1,1,11153
189,1,1,2,39852,3,0,155368,1,19753,39,10,2,2104
190,0,1,2,76495,24,0,128029,7,3000,25,6,0,16221
191,1,1,4,28000,0,1,69129,9,3000,36,2,1,1888
192,1,1,2,28000,9,0,62142,7,8842,33,10,2,3196
193,0,1,1,64750,18,0,141421,6,37366,26,10,1,40000
194,1,1,5,64507,0,0,44783,3,11903,29,5,2,4926
195,1,0,1,28000,0,0,142759,3,5996,36,5,1,4139
196,1,1,4,28000,24,0,96848,10,3000,33,1,0,11322
197,1,0,4,54298,6,0,138796,0,27897,42,4,0,13027
198,0,0,4,100972,6,0,145138,5,19019,32,1,0,234
199,0,1,4,42130,6,0,135101,7,20430,42,8,0,3511
200,0,1,2,75588,0,0,92016,10,72683,26,10,3,30442
201,0,1,4,28000,0,0,155711,0,7406,37,9,1,5056
202,0,1,2,28000,48,0,35838,5,3000,32,5,0,9680
203,0,0,3,106193,36,0,30000,3,66189,30,2,0,16497
204,0,1,5,109075,9,0,30000,9,80916,31,3,0,5309
205,0,0,4,28000,12,0,30000,2,66741,48,6,0,2924
206,0,1,4,28000,0,0,49729,1,3000,47,1,0,6921
207,0,1,1,84778,36,1,47805,0,74922,26,2,3,107
208,0,0,4,55434,12,0,50832,10,3000,32,9,0,3859
209,0,1,3,28000,3,0,30000,10,9956,27,2,0,196
210,0,1,3,28000,24,0,46536,10,13388,27,2,0,12971
211,1,1,1,54164,3,1,70031,3,46686,33,9,0,7521
212,0,1,3,28000,48,0,132059,2,3000,40,5,2,12781
213,0,1,3,28000,9,0,31357,0,3000,36,3,1,4721
214,0,1,5,43595,36,0,30000,0,31746,24,7,1,5854
215,0,1,5,37477,0,0,145489,4,21404,21,8,2,4171
216,0,1,5,28000,48,0,191666,0,20136,32,10,0,32276
217,1,1,3,28000,0,0,95728,4,80055,31,6,0,1456
218,0,1,4,28000,3,0,93897,4,3000,36,3,0,9791
219,0,1,3,28000,3,1,115434,3,54881,32,6,0,19470
220,0,1,4,28000,0,1,97666,1,3000,25,7,2,13679
221,0,1,1,28000,0,0,30000,8,56288,47,8,0,5031
222,1,1,4,68416,3,1,179875,3,53197,40,10,0,2753
223,1,1,3,28073,0,0,156415,9,57673,31,3,1,11073
224,1,1,4,102643,24,0,235521,8,21773,34,9,1,10639
225,0,1,1,28000,36,0,112243,4,62929,38,5,0,5542
226,0,0,1,28000,48,1,157622,9,26676,34,4,1,1523
227,0,0,3,28000,9,0,87021,0,3306,26,8,1,3521
228,1,1,4,28000,24,0,30000,10,67493,37,2,1,479
229,1,1,4,28000,36,0,222903,6,3000,42,2,1,5534
230,1,1,4,28000,0,0,30000,0,45612,36,2,1,1734
231,1,1,3,78087,6,0,30000,5,38229,29,1,2,2951
232,1,1,3,28000,0,0,45138,10,16682,27,7,1,1071
233,0,0,3,28000,6,1,57329,5,28370,30,1,2,729
234,0,1,1,70030,24,0,76446,7,49295,20,4,1,1234
235,1,0,4,28000,12,0,80388,8,25191,34,7,1,1409
236,0,1,4,65701,9,0,31175,0,7660,29,9,0,5023
237,0,0,3,77824,0,1,30000,0,59193,27,1,1,10991
238,0,1,3,88733,12,0,57734,4,26794,27,4,1,11784
239,1,1,4,37402,0,0,144832,1,3000,30,1,1,17063
240,0,1,3,28000,0,0,130879,5,3000,22,3,0,3851
241,0,1,5,84859,12,0,210806,4,84975,39,5,0,35098
242,0,1,4,85277,0,0,42532,10,20007,25,9,0,5444
243,0,1,4,28000,6,0,51740,0,3000,36,7,1,5458
244,1,0,4,75163,18,0,30000,4,24655,40,5,1,642
245,0,0,2,28000,0,0,172920,7,100000,20,3,1,7069
246,1,1,2,32043,9,0,80846,0,19670,27,2,1,40000
247,1,1,4,126583,0,1,82842,10,72046,22,7,0,363
248,1,1,2,28000,24,0,151107,4,3000,46,1,1,2267
249,0,1,4,28000,12,0,40790,2,8834,28,2,1,2136
250,0,0,1,103002,0,0,162755,6,19264,22,5,2,11832
251,0,1,3,51989,24,0,106135,6,13858,38,2,0,4749
252,0,1,4,28000,18,0,63671,6,57774,33,9,1,11448
253,1,1,3,59881,3,0,116511,1,3068,45,1,0,22812
254,1,1,4,37214,18,0,30000,2,58535,39,7,0,1147
255,0,1,4,134989,0,0,55404,0,49751,35,2,1,2225
256,1,1,4,28000,0,0,108299,10,24241,26,5,1,12719
257,1,1,3,79498,0,0,201813,1,3000,37,1,2,5776
258,0,0,3,88882,3,0,32505,3,26197,20,3,1,5120
259,1,1,3,28000,6,0,30000,3,13705,35,10,0,3111
260,0,1,4,84047,0,0,196925,0,47321,31,3,1,13284
261,1,1,2,28000,3,1,30000,4,77601,41,1,1,4028
262,1,1,1,134331,9,0,52729,6,33894,35,10,0,1949
263,1,1,5,112450,3,0,30000,9,31118,40,9,1,706
264,1,1,4,38948,18,0,30000,5,64146,36,1,1,975
265,1,1,5,58289,24,0,78171,6,43206,23,2,1,431
266,1,1,4,61104,9,0,72193,2,51490,31,7,0,4929
267,0,1,5,28000,48,0,91887,4,46388,28,6,1,318
268,0,1,4,72205,36,0,43157,3,19938,31,10,1,2943
269,0,1,1,28000,0,0,75130,4,74033,34,7,1,288
270,1,1,4,58814,0,0,105530,3,6676,23,9,0,472
271,1,1,1,28000,0,0,30000,5,45238,23,2,0,4868
272,0,1,1,53045,3,0,30000,8,3000,20,2,1,2327
273,0,1,3,111903,0,0,66716,0,22819,24,4,0,2540
274,1,1,2,102433,9,0,136056,5,3000,43,8,0,13849
275,0,1,1,28000,24,0,33208,5,3000,24,9,0,6759
276,0,1,4,52294,3,0,30000,3,35157,27,8,2,3860
277,0,1,4,28000,0,0,30000,3,19331,27,4,0,42
278,0,1,4,122413,0,1,106061,5,74361,28,9,1,6138
279,0,1,4,56182,6,0,156831,3,38758,38,2,1,19357
280,1,0,5,28000,48,0,30000,2,48666,39,1,1,1194
281,0,1,4,118442,12,0,49318,5,31486,24,9,2,3539
282,0,1,3,87087,3,0,87402,2,80695,31,7,0,13373
283,0,1,3,36258,0,0,52006,7,3000,37,6,1,17587
284,1,1,2,47896,3,0,183443,8,4001,32,8,1,1070
285,1,1,1,28000,0,0,32218,1,57501,31,9,0,40000
286,0,0,4,95813,0,0,57763,0,25301,32,9,1,3436
287,1,1,4,120076,0,0,67333,1,41529,32,4,0,4908
288,1,0,4,96535,18,0,30000,0,4511,22,2,0,16296
289,1,1,5,61364,9,0,94136,2,7793,23,3,0,6318
290,0,0,5,43142,18,0,96409,5,24173,36,1,0,14856
291,1,1,4,28000,9,0,154170,8,27522,34,3,1,16
292,1,1,2,130836,0,0,66764,0,12150,38,4,0,5140
293,1,1,3,30934,6,0,140007,7,70703,46,6,1,276
294,0,0,2,28000,0,0,152612,0,59722,30,7,0,7717
295,0,1,4,39618,48,0,98506,1,55214,21,6,1,25680
296,1,1,4,29012,0,0,88610,1,21625,36,2,1,2966
297,1,1,5,86099,12,0,30000,7,3000,27,1,0,1903
298,1,1,2,52417,18,1,218290,0,3000,34,5,1,2796
299,1,0,4,68380,24,0,30000,6,40737,25,1,1,7911
300,1,0,4,28000,3,0,203916,4,41038,47,1,0,4104
301,0,0,1,120756,0,0,30000,5,65605,25,10,1,18068
302,0,1,4,28000,3,0,154154,5,11702,39,9,1,1141
303,0,1,4,28000,0,1,148771,2,61789,28,8,2,584
304,1,0,5,28000,9,0,114071,5,3000,36,9,0,16933
305,1,1,3,100217,0,0,113856,0,29944,34,3,0,1087
306,1,0,3,138332,12,0,30000,0,10248,41,10,0,6234
307,0,1,4,28000,0,2,69806,0,3000,30,9,0,730
308,1,0,4,148526,3,0,140671,7,4781,24,6,0,989
309,1,1,4,73153,0,0,181946,6,51131,31,9,2,13197
310,0,1,1,28000,3,0,150291,0,3000,32,2,0,21223
311,1,1,5,29433,9,0,124428,8,14120,23,1,1,4648
312,0,1,1,96553,0,2,30000,5,26178,32,4,2,7258
313,1,1,4,102681,9,0,30000,10,12672,32,2,0,2083
314,1,1,2,111336,0,0,30000,6,29376,22,7,0,1164
315,1,0,4,28000,24,0,93204,7,24665,32,10,1,3866
316,0,1,1,67806,3,0,30000,7,39725,43,7,1,2118
317,1,1,3,76347,9,1,84348,4,40495,29,6,2,920
318,0,0,4,77614,24,0,36653,2,50598,35,2,1,8400
319,1,0,4,28000,6,0,101690,0,3000,20,9,0,4478
320,1,0,2,28000,6,1,76841,8,44330,42,2,0,3940
321,0,1,4,28000,24,0,30000,6,74798,25,2,1,4107
322,1,0,4,59998,24,1,30000,8,70329,35,5,0,2045
323,1,0,4,28000,0,0,101869,1,69751,28,2,0,10166
324,1,0,4,28000,24,0,30000,4,5345,39,1,1,7812
325,0,1,4,48385,18,0,51661,4,3000,31,5,1,1906
326,0,1,4,104006,3,1,54897,5,43635,35,1,1,4674
327,0,1,4,36886,6,0,58678,0,44514,27,6,1,5878
328,0,1,1,28000,0,0,30000,7,3000,42,6,0,5392
329,0,1,3,28000,0,0,66580,0,27704,44,7,1,3910
330,0,0,3,76872,0,0,30000,8,15711,31,10,0,113
331,1,1,4,28000,3,0,159540,5,51528,37,10,1,764
332,0,1,5,92683,36,0,183396,8,3000,22,2,0,1944
333,1,1,3,50936,0,0,107027,2,73173,21,2,1,263
334,0,1,4,45471,12,0,36383,5,17655,26,5,1,23392
335,1,0,4,47388,24,0,73466,8,42990,21,2,0,12529
336,0,1,1,31298,48,1,78089,3,64796,32,2,0,19186
337,1,1,4,28000,3,0,30000,2,45726,36,7,1,1940
338,0,1,1,31818,3,0,91844,9,19167,24,2,1,6563
339,0,0,3,71552,48,0,170851,3,66680,33,10,1,247
340,0,1,4,91563,36,1,30000,6,22770,33,5,1,2937
341,0,1,4,105135,6,0,129248,3,17854,40,9,1,2921
342,1,0,3,31062,0,0,36571,7,3000,35,10,1,22909
343,0,1,5,95646,9,1,96269,3,36555,25,10,0,9017
344,1,1,3,161248,0,0,165786,1,44287,41,10,2,3033
345,1,1,5,28000,3,0,75883,6,38917,41,8,1,146
346,1,1,2,95557,3,0,51545,1,23987,34,6,2,19108
347,1,1,1,35513,36,1,30000,10,3000,30,8,0,12080
348,1,1,4,28000,6,0,90129,5,36775,38,6,1,29889
349,0,0,4,32126,0,0,184332,9,3000,27,10,2,11560
350,0,0,3,83087,3,0,169963,4,5363,30,8,2,14124
351,0,1,3,91762,0,0,30000,8,15609,39,6,1,2075
352,0,1,4,75148,0,0,51453,0,3000,46,1,1,13268
353,0,1,2,39569,3,1,30000,0,79411,24,8,0,7649
354,0,1,1,102486,0,1,143641,4,28924,36,2,0,6293
355,0,1,4,94959,24,0,135473,3,20835,26,10,0,7400
356,1,1,3,41743,6,0,90804,10,26629,22,9,1,5005
357,0,1,4,28000,24,0,30000,2,14157,21,1,0,11061
358,0,1,4,126254,9,0,30000,1,23559,23,3,1,583
359,0,1,4,107464,48,0,160314,1,3000,27,2,0,1738
360,0,0,4,33519,3,0,30000,2,3000,22,8,0,6626
361,1,1,4,65466,0,0,56819,3,19697,39,9,2,1048
362,1,0,3,81870,9,0,97887,10,3000,31,8,0,1834
363,1,1,4,28000,18,0,128957,0,16595,34,10,0,4322
364,0,1,5,28000,9,0,65106,5,3000,38,9,0,4960
365,0,1,4,39939,3,0,106964,1,3000,28,9,1,944
366,1,1,5,29469,9,0,30000,7,3000,26,3,1,17330
367,1,0,2,56528,18,0,41886,3,71784,31,5,0,1745
368,0,1,3,83403,0,0,30000,10,18281,28,1,0,1563
369,0,0,1,28000,18,0,165954,8,39818,22,3,2,218
370,0,0,5,84103,0,0,87657,0,3879,26,3,0,9167
371,1,1,4,129707,0,1,67979,9,3000,27,8,1,5011
372,1,1,4,90121,3,0,30000,8,39539,31,9,0,9628
373,0,0,4,28000,12,0,135822,9,64330,38,5,2,7981
374,1,0,4,68001,9,0,71209,3,54662,35,7,0,7340
375,0,1,4,86726,12,1,147353,4,22248,31,1,1,1218
376,0,1,4,28000,0,2,30000,7,3000,39,5,2,7611
377,1,1,1,89608,3,0,103469,10,51389,36,9,1,140
378,1,1,4,124421,0,0,167609,8,41259,34,3,1,7161
379,1,1,4,106088,36,0,30000,5,25569,21,2,1,5211
380,1,0,4,90697,3,0,30000,6,12740,29,7,0,2902
381,0,0,3,28417,6,0,113919,5,35508,37,8,0,3250
382,0,0,4,46601,3,0,43293,0,40243,30,3,2,21553
383,0,1,4,50249,3,0,40213,6,7696,36,9,2,8027
384,1,0,4,152184,9,0,171031,1,100000,35,2,0,644
385,0,1,3,53302,3,0,257254,0,25585,34,9,1,1148
386,0,1,1,28000,6,0,85766,0,30463,39,8,1,18923
387,0,0,3,151719,0,0,136516,0,78123,35,6,1,22465
388,0,1,3,67076,0,0,30000,1,39435,35,10,1,2088
389,0,1,1,47248,24,1,30000,4,48824,26,1,0,6597
390,1,1,4,34958,0,0,67829,9,82027,20,2,1,1320
391,1,1,4,89612,6,0,75031,0,12279,20,10,1,18020
392,1,1,3,28000,6,0,121109,5,11825,35,5,1,2395
393,1,1,1,28000,0,0,71147,9,54628,39,9,0,1170
394,1,1,4,46550,24,0,30000,1,3000,24,6,0,3170
395,0,1,1,40262,6,0,81320,4,69875,33,3,1,687
396,1,0,3,28000,0,0,56789,7,54413,38,7,0,1633
397,1,1,3,76172,9,0,30000,0,26664,27,6,0,3578
398,0,0,4,63899,9,0,45206,10,3000,21,2,0,1057
399,0,0,5,28000,0,0,85670,8,71583,26,4,0,22475
400,1,1,3,28000,0,0,92635,5,44041,38,8,2,303
401,0,1,4,96226,6,0,177101,6,43119,27,2,0,5880
402,0,1,4,59406,3,0,30000,6,69715,27,2,2,3618
403,1,0,4,89410,0,0,33471,1,33075,26,1,1,6141
404,0,1,4,28000,3,0,50184,5,3000,48,9,1,6224
405,0,1,3,130944,0,0,116637,0,32727,30,7,0,7347
406,0,0,5,28000,3,0,50450,2,24456,36,4,1,31796
407,1,1,4,57626,3,0,41408,2,34797,28,5,1,4099
408,1,1,5,74380,3,0,63420,4,85140,27,6,1,4089
409,0,1,4,36847,6,1,135807,3,18551,35,4,2,17461
410,0,1,4,28000,12,0,30000,0,3000,21,10,1,686
411,1,0,4,31878,0,0,30000,3,3000,30,3,1,2782
412,0,0,4,47570,24,1,30000,0,3000,47,10,2,4196
413,1,1,1,123343,48,0,90945,9,29993,27,9,1,18316
414,0,1,5,28000,0,0,98337,1,41672,39,8,2,8130
415,0,1,4,38333,18,0,238191,6,32825,33,3,2,1266
416,1,1,4,59765,36,0,30000,0,74885,24,7,1,8126
417,0,1,3,51339,24,1,68555,2,19570,22,5,0,4887
418,0,0,1,94872,9,0,200809,1,3000,28,8,1,4337
419,0,1,4,28000,48,0,30000,1,7933,23,3,0,18522
420,0,1,4,28000,3,1,114561,10,48858,36,8,0,4143
421,1,1,1,91871,18,0,148883,3,42416,40,9,1,533
422,0,1,4,54807,0,0,35390,4,30883,31,1,0,2669
423,1,0,2,96770,0,1,50772,1,23748,25,5,2,15863
424,0,0,4,59019,9,0,89505,6,3000,26,3,0,3556
425,1,1,5,30226,9,1,62673,3,26866,32,2,0,24666
426,0,0,4,28000,0,0,30000,6,5876,37,3,0,103
427,1,0,4,134564,0,0,30000,0,23056,23,5,0,7951
428,0,1,4,70725,18,1,30000,0,23337,32,8,0,20594
429,0,1,3,33382,0,0,216629,0,3000,35,9,0,13703
430,0,1,4,28000,6,0,220320,5,46682,28,1,1,11832
431,1,1,3,28000,9,0,30000,4,3000,37,10,0,2509
432,0,1,4,30739,18,1,94278,7,14383,20,10,1,10446
433,1,1,3,97081,0,1,199231,6,20542,36,9,0,4906
434,1,0,3,131421,24,0,160427,2,69653,35,7,0,4461
